,LogisticRegression,LogisticRegression,DummyClassifier,DummyClassifier,MLPClassifier,MLPClassifier
,Param. Value,Error,Param. Value,Error,Param. Value,Error
KFold,,,,,,
1, 0.09, 0.042483 ,, 0.7883,  "(16,)", 0.0392
2, 0.08, 0.036734 ,, 0.7844,  "(8 ,)", 0.03510
3, 0.08, 0.036734 ,, 0.7844,  "(8 ,)", 0.03428
4, 0.08, 0.036734 ,, 0.7844,  "(8 ,)", 0.035918
5, 0.08, 0.036734 ,, 0.7844,  "(8 ,)", 0.035918
6, 0.07, 0.037551 ,, 0.7902,  "(8 ,)", 0.04081
7, 0.07, 0.037551 ,, 0.7902,  "(8 ,)", 0.04
8, 0.07, 0.03428  ,, 0.79020, "(8 ,)", 0.04163
9, 0.07, 0.03428  ,, 0.79020, "(8 ,)", 0.04244
10,0.07, 0.044081 ,, 0.7885,  "(8 ,)", 0.044081